Time,FT1,FT2,FT3,FT4,FT5,FT6
11:06:33:725172,-0.401,-0.048,0.307,-0.004,0.021,0.007
11:06:33:730320,-0.416,-0.069,0.313,-0.004,0.021,0.007
11:06:33:735477,-0.452,-0.097,0.327,-0.003,0.021,0.008
11:06:33:740564,-0.39,-0.036,0.179,-0.008,0.025,0.004
11:06:33:745714,-0.25,0.054,-0.092,-0.018,0.029,0
11:06:33:750927,-0.071,0.128,-0.461,-0.029,0.033,-0.006
11:06:33:756065,0.11,0.109,-0.972,-0.04,0.032,-0.011
11:06:33:761215,0.121,-0.024,-1.24,-0.041,0.025,-0.012
11:06:33:766397,0.106,-0.084,-1.297,-0.041,0.022,-0.013
11:06:33:771691,0.146,-0.071,-1.284,-0.045,0.025,-0.019
11:06:33:776863,0.198,-0.033,-1.234,-0.048,0.028,-0.024
11:06:33:782031,0.243,0,-1.125,-0.05,0.031,-0.029
11:06:33:787184,0.247,0.02,-1.056,-0.05,0.03,-0.03
11:06:33:792362,0.25,0.079,-1.039,-0.052,0.03,-0.032
11:06:33:797638,0.253,0.052,-1.257,-0.052,0.032,-0.034
11:06:33:802715,0.196,-0.259,-1.815,-0.038,0.036,-0.035
11:06:33:807879,0.12,-0.597,-2.32,-0.022,0.038,-0.032
11:06:33:812954,0.044,-1.023,-3.009,0,0.036,-0.023
11:06:33:818119,0.083,-1.111,-3.267,0.008,0.031,-0.017
11:06:33:823199,0.26,-0.977,-3.27,0.006,0.021,-0.012
11:06:33:828364,0.356,-0.849,-3.09,0,0.015,-0.012
11:06:33:833635,0.318,-0.784,-2.77,-0.004,0.012,-0.011
11:06:33:838773,0.2,-0.819,-2.615,-0.005,0.013,-0.007
11:06:33:843875,0.065,-0.845,-2.444,0.003,0.015,0
11:06:33:849051,0.073,-0.732,-2.154,0.024,0.012,0.007
11:06:33:854230,0.102,-0.596,-1.844,0.043,0.008,0.007
11:06:33:859514,0.085,-0.386,-1.338,0.065,0.004,0.004
11:06:33:864667,0.025,-0.235,-1.026,0.068,0.006,0.005
11:06:33:869839,0.007,-0.17,-0.98,0.061,0.01,0.008
11:06:33:874958,0.033,-0.105,-1.093,0.05,0.013,0.011
11:06:33:880124,0.076,-0.065,-1.227,0.048,0.012,0.011
11:06:33:885262,0.158,0.018,-1.399,0.05,0.004,0.009
11:06:33:890475,0.214,0.124,-1.379,0.053,-0.003,0.007
11:06:33:895639,0.212,0.189,-1.199,0.053,-0.007,0.006
11:06:33:900708,0.16,0.269,-0.735,0.053,-0.013,0.006
11:06:33:905832,0.128,0.32,-0.41,0.053,-0.018,0.006
11:06:33:911006,0.129,0.4,-0.113,0.054,-0.028,0.006
11:06:33:916163,0.162,0.438,-0.089,0.055,-0.034,0.006
11:06:33:921315,0.251,0.442,-0.204,0.06,-0.036,0.005
11:06:33:926457,0.331,0.414,-0.265,0.066,-0.029,0.004
11:06:33:931625,0.466,0.37,-0.199,0.074,-0.011,0.003
11:06:33:936751,0.562,0.374,-0.009,0.076,0.003,0.002
11:06:33:941918,0.579,0.409,0.043,0.073,0.008,0.002
11:06:33:947088,0.547,0.475,-0.164,0.07,0.008,0.004
11:06:33:952255,0.516,0.498,-0.442,0.071,0.008,0.005
11:06:33:957440,0.497,0.473,-0.764,0.077,0.01,0.007
